Number	Player	Team	 Purchased 	 Paid 
162	Bobby Gene Smith	St. Louis Cardinals	 TRUE 	$3.29
163	Sandy Koufax	Los Angeles Dodgers	 FALSE 	
164	Johnny Groth	Detroit Tigers	 FALSE 	
165	Bill Bruton	Milwaukee Braves	 TRUE 	$5.00
166	Minoso, Doby, Colavito	Cleveland Indians	 FALSE 	
167	Duke Maas	New York Yankees	 TRUE 	$2.00
168	Carroll Hardy	Cleveland Indians	 TRUE 	$3.70
169	Ted Abernathy	Washington Senators	 FALSE 	
170	Gene Woodling	Baltimore Orioles	 TRUE 	$4.76
171	Willard Schmidt	Cincinnati Redlegs	 TRUE 	$2.11
172	Kansas City Athletics	Kansas City Athletics	 FALSE 	
173	Bill Monbouquette	Boston Red Sox	 TRUE 	$4.51
174	Jim Pendleton	Pittsburgh Pirates	 TRUE 	$3.43
175	Dick Farrell	Philadelphia Phillies	 TRUE 	$1.95
176	Preston Ward	Kansas City Athletics	 TRUE 	$3.00
177	Johnny Briggs	Chicago Cubs	 TRUE 	$4.51
178	Ruben Amaro	Philadelphia Phillies	 FALSE 	
179	Don Rudolph	Chicago White Sox	 FALSE 	
180	Yogi Berra	New York Yankees	 FALSE 	
181	Bob Porterfield	Pittsburgh Pirates	 TRUE 	$1.51
182	Milt Graff	Kansas City Athletics	 TRUE 	$3.06
183	Stu Miller	San Francisco Giants	 FALSE 	
184	Harvey Haddix	Cincinnati Redlegs	 FALSE 	
185	Jim Busby	Boston Red Sox	 TRUE 	$2.00
186	Mudcat Grant	Cleveland Indians	 FALSE 	
187	Bubba Phillips	Chicago White Sox	 TRUE 	$1.50
188	Juan Pizarro	Milwaukee Braves	 FALSE 	
189	Neil Chrisley	Detroit Tigers 	 TRUE 	$1.91
190	Bill Virdon	Pittsburgh Pirates	 TRUE 	$3.43
191	Russ Kemmerer	Washington Senators	 TRUE 	$3.29
192	Charley Beamon	Baltimore Orioles	 TRUE 	$0.80
193	Sammy Taylor	Chicago Cubs	 TRUE 	$1.91
194	Jim Brosnan	St. Louis Cardinals	 TRUE 	$2.27
195	Rip Repulski	Los Angeles Dodgers	 FALSE 	
196	Billy Moran	Cleveland Indians	 TRUE 	$2.00
197	Ray Semproch	Philadelphia Phillies	 FALSE 	
198	Jim Davenport	San Francisco Giants	 FALSE 	
199	Leo Kiely	Boston Red Sox	 TRUE 	$2.00
